                TABLE OF MODE A AND MODE C ENCODER DATA                                    
                                                          
													
													
													
ALTITUDE  A1   A2   A4   B1   B2   B4   C1   C2   C4   D1   D2   D4   SQUAWK
													
-1200     0    0    0    0    0    0    0    0    1    0    0    0    0040
-1100     0    0    0    0    0    0    0    1    1    0    0    0    0060
-1000     0    0    0    0    0    0    0    1    0    0    0    0    0020
-900      0    0    0    0    0    0    1    1    0    0    0    0    0030
-800      0    0    0    0    0    0    1    0    0    0    0    0    0010
-700      0    0    0    0    0    1    1    0    0    0    0    0    0410
-600      0    0    0    0    0    1    1    1    0    0    0    0    0430
-500      0    0    0    0    0    1    0    1    0    0    0    0    0420
-400      0    0    0    0    0    1    0    1    1    0    0    0    0460
-300      0    0    0    0    0    1    0    0    1    0    0    0    0440
-200      0    0    0    0    1    1    0    0    1    0    0    0    0640
-100      0    0    0    0    1    1    0    1    1    0    0    0    0660
0         0    0    0    0    1    1    0    1    0    0    0    0    0620
100       0    0    0    0    1    1    1    1    0    0    0    0    0630
200       0    0    0    0    1    1    1    0    0    0    0    0    0610
300       0    0    0    0    1    0    1    0    0    0    0    0    0210
400       0    0    0    0    1    0    1    1    0    0    0    0    0230
500       0    0    0    0    1    0    0    1    0    0    0    0    0220
600       0    0    0    0    1    0    0    1    1    0    0    0    0260
700       0    0    0    0    1    0    0    0    1    0    0    0    0240
800       0    0    0    1    1    0    0    0    1    0    0    0    0340
900       0    0    0    1    1    0    0    1    1    0    0    0    0360
1000      0    0    0    1    1    0    0    1    0    0    0    0    0320
1100      0    0    0    1    1    0    1    1    0    0    0    0    0330
1200      0    0    0    1    1    0    1    0    0    0    0    0    0310
1300      0    0    0    1    1    1    1    0    0    0    0    0    0710
1400      0    0    0    1    1    1    1    1    0    0    0    0    0730
1500      0    0    0    1    1    1    0    1    0    0    0    0    0720
1600      0    0    0    1    1    1    0    1    1    0    0    0    0760
1700      0    0    0    1    1    1    0    0    1    0    0    0    0740
1800      0    0    0    1    0    1    0    0    1    0    0    0    0540
1900      0    0    0    1    0    1    0    1    1    0    0    0    0560
2000      0    0    0    1    0    1    0    1    0    0    0    0    0520
2100      0    0    0    1    0    1    1    1    0    0    0    0    0530
2200      0    0    0    1    0    1    1    0    0    0    0    0    0510
2300      0    0    0    1    0    0    1    0    0    0    0    0    0110
2400      0    0    0    1    0    0    1    1    0    0    0    0    0130
2500      0    0    0    1    0    0    0    1    0    0    0    0    0120
2600      0    0    0    1    0    0    0    1    1    0    0    0    0160
2700      0    0    0    1    0    0    0    0    1    0    0    0    0140
2800      0    0    1    1    0    0    0    0    1    0    0    0    4140
2900      0    0    1    1    0    0    0    1    1    0    0    0    4160
3000      0    0    1    1    0    0    0    1    0    0    0    0    4120
3100      0    0    1    1    0    0    1    1    0    0    0    0    4130
3200      0    0    1    1    0    0    1    0    0    0    0    0    4110
3300      0    0    1    1    0    1    1    0    0    0    0    0    4510
3400      0    0    1    1    0    1    1    1    0    0    0    0    4530
3500      0    0    1    1    0    1    0    1    0    0    0    0    4520
3600      0    0    1    1    0    1    0    1    1    0    0    0    4560
3700      0    0    1    1    0    1    0    0    1    0    0    0    4540
3800      0    0    1    1    1    1    0    0    1    0    0    0    4740
3900      0    0    1    1    1    1    0    1    1    0    0    0    4760
4000      0    0    1    1    1    1    0    1    0    0    0    0    4720
4100      0    0    1    1    1    1    1    1    0    0    0    0    4730
4200      0    0    1    1    1    1    1    0    0    0    0    0    4710
4300      0    0    1    1    1    0    1    0    0    0    0    0    4310
4400      0    0    1    1    1    0    1    1    0    0    0    0    4330
4500      0    0    1    1    1    0    0    1    0    0    0    0    4320
4600      0    0    1    1    1    0    0    1    1    0    0    0    4360
4700      0    0    1    1    1    0    0    0    1    0    0    0    4340
4800      0    0    1    0    1    0    0    0    1    0    0    0    4240
4900      0    0    1    0    1    0    0    1    1    0    0    0    4260
5000      0    0    1    0    1    0    0    1    0    0    0    0    4220
5100      0    0    1    0    1    0    1    1    0    0    0    0    4230
5200      0    0    1    0    1    0    1    0    0    0    0    0    4210
5300      0    0    1    0    1    1    1    0    0    0    0    0    4610
5400      0    0    1    0    1    1    1    1    0    0    0    0    4630
5500      0    0    1    0    1    1    0    1    0    0    0    0    4620
5600      0    0    1    0    1    1    0    1    1    0    0    0    4660
5700      0    0    1    0    1    1    0    0    1    0    0    0    4640
5800      0    0    1    0    0    1    0    0    1    0    0    0    4440
5900      0    0    1    0    0    1    0    1    1    0    0    0    4460
6000      0    0    1    0    0    1    0    1    0    0    0    0    4420
6100      0    0    1    0    0    1    1    1    0    0    0    0    4430
6200      0    0    1    0    0    1    1    0    0    0    0    0    4410
6300      0    0    1    0    0    0    1    0    0    0    0    0    4010
6400      0    0    1    0    0    0    1    1    0    0    0    0    4030
6500      0    0    1    0    0    0    0    1    0    0    0    0    4020
6600      0    0    1    0    0    0    0    1    1    0    0    0    4060
6700      0    0    1    0    0    0    0    0    1    0    0    0    4040
6800      0    1    1    0    0    0    0    0    1    0    0    0    6040
6900      0    1    1    0    0    0    0    1    1    0    0    0    6060
7000      0    1    1    0    0    0    0    1    0    0    0    0    6020
7100      0    1    1    0    0    0    1    1    0    0    0    0    6030
7200      0    1    1    0    0    0    1    0    0    0    0    0    6010
7300      0    1    1    0    0    1    1    0    0    0    0    0    6410
7400      0    1    1    0    0    1    1    1    0    0    0    0    6430
7500      0    1    1    0    0    1    0    1    0    0    0    0    6420
7600      0    1    1    0    0    1    0    1    1    0    0    0    6460
7700      0    1    1    0    0    1    0    0    1    0    0    0    6440
7800      0    1    1    0    1    1    0    0    1    0    0    0    6640
7900      0    1    1    0    1    1    0    1    1    0    0    0    6660
8000      0    1    1    0    1    1    0    1    0    0    0    0    6620
8100      0    1    1    0    1    1    1    1    0    0    0    0    6630
8200      0    1    1    0    1    1    1    0    0    0    0    0    6610
8300      0    1    1    0    1    0    1    0    0    0    0    0    6210
8400      0    1    1    0    1    0    1    1    0    0    0    0    6230
8500      0    1    1    0    1    0    0    1    0    0    0    0    6220
8600      0    1    1    0    1    0    0    1    1    0    0    0    6260
8700      0    1    1    0    1    0    0    0    1    0    0    0    6240
8800      0    1    1    1    1    0    0    0    1    0    0    0    6340
8900      0    1    1    1    1    0    0    1    1    0    0    0    6360
9000      0    1    1    1    1    0    0    1    0    0    0    0    6320
9100      0    1    1    1    1    0    1    1    0    0    0    0    6330
9200      0    1    1    1    1    0    1    0    0    0    0    0    6310
9300      0    1    1    1    1    1    1    0    0    0    0    0    6710
9400      0    1    1    1    1    1    1    1    0    0    0    0    6730
9500      0    1    1    1    1    1    0    1    0    0    0    0    6720
9600      0    1    1    1    1    1    0    1    1    0    0    0    6760
9700      0    1    1    1    1    1    0    0    1    0    0    0    6740
9800      0    1    1    1    0    1    0    0    1    0    0    0    6540
9900      0    1    1    1    0    1    0    1    1    0    0    0    6560
10000     0    1    1    1    0    1    0    1    0    0    0    0    6520
10100     0    1    1    1    0    1    1    1    0    0    0    0    6530
10200     0    1    1    1    0    1    1    0    0    0    0    0    6510
10300     0    1    1    1    0    0    1    0    0    0    0    0    6110
10400     0    1    1    1    0    0    1    1    0    0    0    0    6130
10500     0    1    1    1    0    0    0    1    0    0    0    0    6120
10600     0    1    1    1    0    0    0    1    1    0    0    0    6160
10700     0    1    1    1    0    0    0    0    1    0    0    0    6140
10800     0    1    0    1    0    0    0    0    1    0    0    0    2140
10900     0    1    0    1    0    0    0    1    1    0    0    0    2160
11000     0    1    0    1    0    0    0    1    0    0    0    0    2120
11100     0    1    0    1    0    0    1    1    0    0    0    0    2130
11200     0    1    0    1    0    0    1    0    0    0    0    0    2110
11300     0    1    0    1    0    1    1    0    0    0    0    0    2510
11400     0    1    0    1    0    1    1    1    0    0    0    0    2530
11500     0    1    0    1    0    1    0    1    0    0    0    0    2520
11600     0    1    0    1    0    1    0    1    1    0    0    0    2560
11700     0    1    0    1    0    1    0    0    1    0    0    0    2540
11800     0    1    0    1    1    1    0    0    1    0    0    0    2740
11900     0    1    0    1    1    1    0    1    1    0    0    0    2760
12000     0    1    0    1    1    1    0    1    0    0    0    0    2720
12100     0    1    0    1    1    1    1    1    0    0    0    0    2730
12200     0    1    0    1    1    1    1    0    0    0    0    0    2710
12300     0    1    0    1    1    0    1    0    0    0    0    0    2310
12400     0    1    0    1    1    0    1    1    0    0    0    0    2330
12500     0    1    0    1    1    0    0    1    0    0    0    0    2320
12600     0    1    0    1    1    0    0    1    1    0    0    0    2360
12700     0    1    0    1    1    0    0    0    1    0    0    0    2340
12800     0    1    0    0    1    0    0    0    1    0    0    0    2240
12900     0    1    0    0    1    0    0    1    1    0    0    0    2260
13000     0    1    0    0    1    0    0    1    0    0    0    0    2220
13100     0    1    0    0    1    0    1    1    0    0    0    0    2230
13200     0    1    0    0    1    0    1    0    0    0    0    0    2210
13300     0    1    0    0    1    1    1    0    0    0    0    0    2610
13400     0    1    0    0    1    1    1    1    0    0    0    0    2630
13500     0    1    0    0    1    1    0    1    0    0    0    0    2620
13600     0    1    0    0    1    1    0    1    1    0    0    0    2660
13700     0    1    0    0    1    1    0    0    1    0    0    0    2640
13800     0    1    0    0    0    1    0    0    1    0    0    0    2440
13900     0    1    0    0    0    1    0    1    1    0    0    0    2460
14000     0    1    0    0    0    1    0    1    0    0    0    0    2420
14100     0    1    0    0    0    1    1    1    0    0    0    0    2430
14200     0    1    0    0    0    1    1    0    0    0    0    0    2410
14300     0    1    0    0    0    0    1    0    0    0    0    0    2010
14400     0    1    0    0    0    0    1    1    0    0    0    0    2030
14500     0    1    0    0    0    0    0    1    0    0    0    0    2020
14600     0    1    0    0    0    0    0    1    1    0    0    0    2060
14700     0    1    0    0    0    0    0    0    1    0    0    0    2040
14800     1    1    0    0    0    0    0    0    1    0    0    0    3040
14900     1    1    0    0    0    0    0    1    1    0    0    0    3060
15000     1    1    0    0    0    0    0    1    0    0    0    0    3020
15100     1    1    0    0    0    0    1    1    0    0    0    0    3030
15200     1    1    0    0    0    0    1    0    0    0    0    0    3010
15300     1    1    0    0    0    1    1    0    0    0    0    0    3410
15400     1    1    0    0    0    1    1    1    0    0    0    0    3430
15500     1    1    0    0    0    1    0    1    0    0    0    0    3420
15600     1    1    0    0    0    1    0    1    1    0    0    0    3460
15700     1    1    0    0    0    1    0    0    1    0    0    0    3440
15800     1    1    0    0    1    1    0    0    1    0    0    0    3640
15900     1    1    0    0    1    1    0    1    1    0    0    0    3660
16000     1    1    0    0    1    1    0    1    0    0    0    0    3620
16100     1    1    0    0    1    1    1    1    0    0    0    0    3630
16200     1    1    0    0    1    1    1    0    0    0    0    0    3610
16300     1    1    0    0    1    0    1    0    0    0    0    0    3210
16400     1    1    0    0    1    0    1    1    0    0    0    0    3230
16500     1    1    0    0    1    0    0    1    0    0    0    0    3220
16600     1    1    0    0    1    0    0    1    1    0    0    0    3260
16700     1    1    0    0    1    0    0    0    1    0    0    0    3240
16800     1    1    0    1    1    0    0    0    1    0    0    0    3340
16900     1    1    0    1    1    0    0    1    1    0    0    0    3360
17000     1    1    0    1    1    0    0    1    0    0    0    0    3320
17100     1    1    0    1    1    0    1    1    0    0    0    0    3330
17200     1    1    0    1    1    0    1    0    0    0    0    0    3310
17300     1    1    0    1    1    1    1    0    0    0    0    0    3710
17400     1    1    0    1    1    1    1    1    0    0    0    0    3730
17500     1    1    0    1    1    1    0    1    0    0    0    0    3720
17600     1    1    0    1    1    1    0    1    1    0    0    0    3760
17700     1    1    0    1    1    1    0    0    1    0    0    0    3740
17800     1    1    0    1    0    1    0    0    1    0    0    0    3540
17900     1    1    0    1    0    1    0    1    1    0    0    0    3560
18000     1    1    0    1    0    1    0    1    0    0    0    0    3520
18100     1    1    0    1    0    1    1    1    0    0    0    0    3530
18200     1    1    0    1    0    1    1    0    0    0    0    0    3510
18300     1    1    0    1    0    0    1    0    0    0    0    0    3110
18400     1    1    0    1    0    0    1    1    0    0    0    0    3130
18500     1    1    0    1    0    0    0    1    0    0    0    0    3120
18600     1    1    0    1    0    0    0    1    1    0    0    0    3160
18700     1    1    0    1    0    0    0    0    1    0    0    0    3140
18800     1    1    1    1    0    0    0    0    1    0    0    0    7140
18900     1    1    1    1    0    0    0    1    1    0    0    0    7160
19000     1    1    1    1    0    0    0    1    0    0    0    0    7120
19100     1    1    1    1    0    0    1    1    0    0    0    0    7130
19200     1    1    1    1    0    0    1    0    0    0    0    0    7110
19300     1    1    1    1    0    1    1    0    0    0    0    0    7510
19400     1    1    1    1    0    1    1    1    0    0    0    0    7530
19500     1    1    1    1    0    1    0    1    0    0    0    0    7520
19600     1    1    1    1    0    1    0    1    1    0    0    0    7560
19700     1    1    1    1    0    1    0    0    1    0    0    0    7540
19800     1    1    1    1    1    1    0    0    1    0    0    0    7740
19900     1    1    1    1    1    1    0    1    1    0    0    0    7760
20000     1    1    1    1    1    1    0    1    0    0    0    0    7720
20100     1    1    1    1    1    1    1    1    0    0    0    0    7730
20200     1    1    1    1    1    1    1    0    0    0    0    0    7710
20300     1    1    1    1    1    0    1    0    0    0    0    0    7310
20400     1    1    1    1    1    0    1    1    0    0    0    0    7330
20500     1    1    1    1    1    0    0    1    0    0    0    0    7320
20600     1    1    1    1    1    0    0    1    1    0    0    0    7360
20700     1    1    1    1    1    0    0    0    1    0    0    0    7340
20800     1    1    1    0    1    0    0    0    1    0    0    0    7240
20900     1    1    1    0    1    0    0    1    1    0    0    0    7260
21000     1    1    1    0    1    0    0    1    0    0    0    0    7220
21100     1    1    1    0    1    0    1    1    0    0    0    0    7230
21200     1    1    1    0    1    0    1    0    0    0    0    0    7210
21300     1    1    1    0    1    1    1    0    0    0    0    0    7610
21400     1    1    1    0    1    1    1    1    0    0    0    0    7630
21500     1    1    1    0    1    1    0    1    0    0    0    0    7620
21600     1    1    1    0    1    1    0    1    1    0    0    0    7660
21700     1    1    1    0    1    1    0    0    1    0    0    0    7640
21800     1    1    1    0    0    1    0    0    1    0    0    0    7440
21900     1    1    1    0    0    1    0    1    1    0    0    0    7460
22000     1    1    1    0    0    1    0    1    0    0    0    0    7420
22100     1    1    1    0    0    1    1    1    0    0    0    0    7430
22200     1    1    1    0    0    1    1    0    0    0    0    0    7410
22300     1    1    1    0    0    0    1    0    0    0    0    0    7010
22400     1    1    1    0    0    0    1    1    0    0    0    0    7030
22500     1    1    1    0    0    0    0    1    0    0    0    0    7020
22600     1    1    1    0    0    0    0    1    1    0    0    0    7060
22700     1    1    1    0    0    0    0    0    1    0    0    0    7040
22800     1    0    1    0    0    0    0    0    1    0    0    0    5040
22900     1    0    1    0    0    0    0    1    1    0    0    0    5060
23000     1    0    1    0    0    0    0    1    0    0    0    0    5020
23100     1    0    1    0    0    0    1    1    0    0    0    0    5030
23200     1    0    1    0    0    0    1    0    0    0    0    0    5010
23300     1    0    1    0    0    1    1    0    0    0    0    0    5410
23400     1    0    1    0    0    1    1    1    0    0    0    0    5430
23500     1    0    1    0    0    1    0    1    0    0    0    0    5420
23600     1    0    1    0    0    1    0    1    1    0    0    0    5460
23700     1    0    1    0    0    1    0    0    1    0    0    0    5440
23800     1    0    1    0    1    1    0    0    1    0    0    0    5640
23900     1    0    1    0    1    1    0    1    1    0    0    0    5660
24000     1    0    1    0    1    1    0    1    0    0    0    0    5620
24100     1    0    1    0    1    1    1    1    0    0    0    0    5630
24200     1    0    1    0    1    1    1    0    0    0    0    0    5610
